Discipline,F,M,Total,Team/NOC
Table Tennis,3,1,4,romania
Tennis,3,0,3,romania
Triathlon,0,1,1,romania
Wrestling,3,2,5,romania
Athletics,4,0,4,venezuela
Boxing,1,2,3,venezuela
Cycling BMX Freestyle,0,1,1,venezuela
Cycling Road,0,1,1,venezuela
Diving,0,1,1,venezuela
Fencing,0,2,2,venezuela
Golf,0,1,1,venezuela
Judo,3,0,3,venezuela
Karate,1,2,3,venezuela
Marathon Swimming,1,0,1,venezuela
Rowing,0,2,2,venezuela
Sailing,0,1,1,venezuela
Shooting,0,1,1,venezuela
Swimming,1,2,3,venezuela
Volleyball,0,12,12,venezuela
Weightlifting,2,2,4,venezuela
Archery,1,3,4,india
Artistic Gymnastics,1,0,1,india
Athletics,8,17,25,india
Badminton,1,3,4,india
Boxing,4,5,9,india
Equestrian,0,1,1,india
Fencing,1,0,1,india
Golf,2,2,4,india
Hockey,16,16,32,india
Judo,1,0,1,india
Rowing,0,2,2,india
Sailing,1,3,4,india
Shooting,7,8,15,india
Swimming,1,2,3,india
Table Tennis,2,2,4,india
Tennis,2,1,3,india
Weightlifting,1,0,1,india
Wrestling,4,3,7,india
Artistic Gymnastics,0,1,1,hong-kong-china
Athletics,1,1,2,hong-kong-china
Badminton,2,2,4,hong-kong-china
Cycling Road,0,1,1,hong-kong-china
Cycling Track,4,0,4,hong-kong-china
Equestrian,0,1,1,hong-kong-china
Fencing,4,4,8,hong-kong-china
Golf,1,0,1,hong-kong-china
Karate,1,0,1,hong-kong-china
Marathon Swimming,0,1,1,hong-kong-china
Rowing,1,0,1,hong-kong-china
Sailing,2,1,3,hong-kong-china
Swimming,7,1,8,hong-kong-china
Table Tennis,3,3,6,hong-kong-china
Triathlon,0,1,1,hong-kong-china
Artistic Gymnastics,0,1,1,philippines
Athletics,1,1,2,philippines
Boxing,2,2,4,philippines
Golf,2,1,3,philippines
Judo,1,0,1,philippines
Rowing,0,1,1,philippines
Shooting,0,1,1,philippines
Skateboarding,1,0,1,philippines
Swimming,1,1,2,philippines
Taekwondo,0,1,1,philippines
Weightlifting,2,0,2,philippines
Archery,1,0,1,slovakia
Artistic Gymnastics,1,0,1,slovakia
Athletics,4,5,9,slovakia
Badminton,1,0,1,slovakia
Boxing,0,1,1,slovakia
Canoe Slalom,2,2,4,slovakia
Canoe Sprint,0,5,5,slovakia
Cycling Road,0,2,2,slovakia
Golf,0,1,1,slovakia
Shooting,3,4,7,slovakia
Swimming,1,1,2,slovakia
Table Tennis,1,2,3,slovakia
Tennis,0,3,3,slovakia
Wrestling,0,1,1,slovakia
Artistic Gymnastics,2,0,2,south-africa
Artistic Swimming,2,0,2,south-africa
Athletics,5,25,30,south-africa
Cycling BMX Racing,0,1,1,south-africa
Cycling Mountain Bike,1,1,2,south-africa
Cycling Road,2,3,5,south-africa
Cycling Track,1,2,3,south-africa
Diving,2,0,2,south-africa
Equestrian,1,0,1,south-africa
Football,0,19,19,south-africa
Golf,0,2,2,south-africa
Hockey,16,16,32,south-africa
Judo,1,0,1,south-africa
Marathon Swimming,1,1,2,south-africa
Rowing,0,6,6,south-africa
Rugby Sevens,0,13,13,south-africa
Sailing,0,3,3,south-africa
Skateboarding,1,2,3,south-africa
Sport Climbing,1,1,2,south-africa
Surfing,1,0,1,south-africa
Swimming,8,7,15,south-africa
Triathlon,2,1,3,south-africa
Water Polo,13,13,26,south-africa
Artistic Gymnastics,1,0,1,austria
Artistic Swimming,2,0,2,austria
Athletics,4,3,7,austria
Badminton,0,1,1,austria
Canoe Slalom,2,1,3,austria
Canoe Sprint,2,0,2,austria
Cycling Mountain Bike,1,1,2,austria
Cycling Road,1,3,4,austria
Cycling Track,0,2,2,austria
Equestrian,3,2,5,austria
Golf,1,2,3,austria
Judo,4,2,6,austria
Karate,1,0,1,austria
Modern Pentathlon,0,1,1,austria
Rowing,3,0,3,austria
Sailing,3,3,6,austria
Shooting,1,1,2,austria
Skateboarding,1,0,1,austria
Sport Climbing,1,1,2,austria
Swimming,2,5,7,austria
Table Tennis,3,3,6,austria
Tennis,0,2,2,austria
Triathlon,2,2,4,austria
Weightlifting,1,1,2,austria
Archery,1,1,2,egypt
Artistic Gymnastics,2,1,3,egypt
Artistic Swimming,8,0,8,egypt
Athletics,0,4,4,egypt
Badminton,2,1,3,egypt
Boxing,0,2,2,egypt
Canoe Sprint,1,1,2,egypt
Cycling Track,1,0,1,egypt
Diving,1,1,2,egypt
Equestrian,0,3,3,egypt
Fencing,5,9,14,egypt
Football,0,22,22,egypt
Handball,0,14,14,egypt
Judo,0,3,3,egypt
Karate,3,2,5,egypt
Modern Pentathlon,2,2,4,egypt
Rhythmic Gymnastics,6,0,6,egypt
Rowing,0,1,1,egypt
Sailing,1,1,2,egypt
Shooting,4,7,11,egypt
Swimming,1,3,4,egypt
Table Tennis,3,3,6,egypt
Taekwondo,2,2,4,egypt
Tennis,1,1,2,egypt
Trampoline Gymnastics,1,1,2,egypt
Triathlon,1,0,1,egypt
Wrestling,2,6,8,egypt
Archery,1,3,4,indonesia
Athletics,1,1,2,indonesia
Badminton,4,7,11,indonesia
Rowing,2,0,2,indonesia
Shooting,1,0,1,indonesia
Surfing,0,1,1,indonesia
Swimming,1,1,2,indonesia
Weightlifting,2,3,5,indonesia
Athletics,19,15,34,ethiopia
Cycling Road,1,0,1,ethiopia
Swimming,0,1,1,ethiopia
Taekwondo,0,1,1,ethiopia
Artistic Gymnastics,1,0,1,portugal
Athletics,13,7,20,portugal
Canoe Slalom,0,1,1,portugal
Canoe Sprint,2,5,7,portugal
Cycling Mountain Bike,1,0,1,portugal
Cycling Road,0,2,2,portugal
Cycling Track,1,0,1,portugal
Equestrian,2,2,4,portugal
Handball,0,14,14,portugal
Judo,6,2,8,portugal
Marathon Swimming,1,1,2,portugal
Rowing,0,2,2,portugal
Sailing,1,4,5,portugal
Shooting,0,1,1,portugal
Skateboarding,0,1,1,portugal
Surfing,2,0,2,portugal
Swimming,3,4,7,portugal
Table Tennis,2,3,5,portugal
Taekwondo,0,1,1,portugal
Tennis,0,2,2,portugal
Trampoline Gymnastics,0,1,1,portugal
Triathlon,1,2,3,portugal
Archery,1,1,2,tunisia
Athletics,1,2,3,tunisia
Boxing,2,0,2,tunisia
Canoe Sprint,2,2,4,tunisia
Fencing,6,2,8,tunisia
Judo,3,0,3,tunisia
Marathon Swimming,0,1,1,tunisia
Rowing,2,0,2,tunisia
Sailing,3,1,4,tunisia
Shooting,1,1,2,tunisia
Swimming,0,1,1,tunisia
Table Tennis,1,1,2,tunisia
Taekwondo,0,1,1,tunisia
Tennis,1,0,1,tunisia
Volleyball,0,12,12,tunisia
Weightlifting,2,3,5,tunisia
Wrestling,4,6,10,tunisia
Archery,1,0,1,estonia
Athletics,1,6,7,estonia
Badminton,1,1,2,estonia
Cycling Mountain Bike,1,0,1,estonia
Cycling Road,0,2,2,estonia
Equestrian,1,0,1,estonia
Fencing,4,0,4,estonia
Judo,0,1,1,estonia
Rowing,0,4,4,estonia
Sailing,1,1,2,estonia
Shooting,0,1,1,estonia
Swimming,1,2,3,estonia
Tennis,1,0,1,estonia
Triathlon,1,0,1,estonia
Wrestling,1,1,2,estonia
Athletics,0,1,1,fiji
Judo,0,1,1,fiji
Rugby Sevens,13,13,26,fiji
Sailing,1,0,1,fiji
Swimming,1,1,2,fiji
Table Tennis,1,0,1,fiji
3x3 Basketball,0,4,4,latvia
Athletics,5,3,8,latvia
Beach Volleyball,2,2,4,latvia
Canoe Sprint,0,1,1,latvia
Cycling BMX Racing,1,1,2,latvia
Cycling Road,0,2,2,latvia
Equestrian,0,1,1,latvia
Judo,0,1,1,latvia
Karate,0,1,1,latvia
Modern Pentathlon,0,1,1,latvia
Shooting,1,0,1,latvia
Swimming,1,1,2,latvia
Tennis,2,0,2,latvia
Weightlifting,0,2,2,latvia
Wrestling,1,0,1,latvia
Athletics,1,1,2,thailand
Badminton,5,2,7,thailand
Boxing,3,1,4,thailand
Canoe Sprint,1,0,1,thailand
Cycling BMX Racing,1,0,1,thailand
Cycling Road,1,0,1,thailand
Equestrian,1,2,3,thailand
Golf,2,2,4,thailand
Judo,1,0,1,thailand
Rowing,0,2,2,thailand
Sailing,2,1,3,thailand
Shooting,4,2,6,thailand
Swimming,1,1,2,thailand
Table Tennis,2,0,2,thailand
Taekwondo,1,1,2,thailand
Rowing,0,1,1,bermuda
Triathlon,1,0,1,bermuda
Athletics,2,12,14,morocco
Beach Volleyball,0,2,2,morocco
Boxing,2,4,6,morocco
Canoe Slalom,1,1,2,morocco
Cycling Road,0,1,1,morocco
Equestrian,0,5,5,morocco
Fencing,0,1,1,morocco
Golf,1,0,1,morocco
Judo,2,0,2,morocco
Karate,1,0,1,morocco
Rowing,1,0,1,morocco
Shooting,1,0,1,morocco
Surfing,0,1,1,morocco
Swimming,1,1,2,morocco
Taekwondo,2,1,3,morocco
Triathlon,0,1,1,morocco
Weightlifting,0,1,1,morocco
Wrestling,0,1,1,morocco
Athletics,1,3,4,puerto-rico
Basketball,12,0,12,puerto-rico
Boxing,0,1,1,puerto-rico
Diving,0,1,1,puerto-rico
Equestrian,1,0,1,puerto-rico
Golf,1,1,2,puerto-rico
Judo,2,1,3,puerto-rico
Rowing,1,0,1,puerto-rico
Sailing,1,1,2,puerto-rico
Shooting,1,0,1,puerto-rico
Skateboarding,0,2,2,puerto-rico
Swimming,1,1,2,puerto-rico
Table Tennis,2,1,3,puerto-rico
Taekwondo,1,0,1,puerto-rico
Wrestling,0,1,1,puerto-rico
Archery,1,1,2,colombia
Artistic Swimming,2,0,2,colombia
Athletics,8,16,24,colombia
Boxing,2,4,6,colombia
Cycling BMX Racing,1,2,3,colombia
Cycling Road,1,4,5,colombia
Cycling Track,0,1,1,colombia
Diving,0,3,3,colombia
Equestrian,0,1,1,colombia
Fencing,1,0,1,colombia
Golf,1,1,2,colombia
Judo,1,0,1,colombia
Shooting,0,1,1,colombia
Skateboarding,0,1,1,colombia
Swimming,1,1,2,colombia
Taekwondo,1,1,2,colombia
Tennis,1,3,4,colombia
Trampoline Gymnastics,0,1,1,colombia
Weightlifting,1,2,3,colombia
Wrestling,0,3,3,colombia
Artistic Gymnastics,1,1,2,azerbaijan
Athletics,1,1,2,azerbaijan
Badminton,0,1,1,azerbaijan
Boxing,0,5,5,azerbaijan
Cycling Road,0,1,1,azerbaijan
Fencing,1,0,1,azerbaijan
Judo,2,7,9,azerbaijan
Karate,1,2,3,azerbaijan
Rhythmic Gymnastics,6,0,6,azerbaijan
Shooting,0,2,2,azerbaijan
Swimming,1,1,2,azerbaijan
Taekwondo,1,1,2,azerbaijan
Triathlon,0,1,1,azerbaijan
Wrestling,2,5,7,azerbaijan
Athletics,3,4,7,Dominican Republic
Baseball/Softball,0,24,24,Dominican Republic
Boxing,2,5,7,Dominican Republic
Diving,0,1,1,Dominican Republic
Equestrian,1,1,2,Dominican Republic
Judo,0,1,1,Dominican Republic
Rowing,0,1,1,Dominican Republic
Swimming,1,1,2,Dominican Republic
Taekwondo,1,2,3,Dominican Republic
Volleyball,12,0,12,Dominican Republic
Weightlifting,3,2,5,Dominican Republic
Artistic Gymnastics,0,1,1,armenia
Athletics,0,1,1,armenia
Boxing,0,3,3,armenia
Judo,0,1,1,armenia
Shooting,1,0,1,armenia
Swimming,1,1,2,armenia
Weightlifting,1,1,2,armenia
Wrestling,0,6,6,armenia
Athletics,1,1,2,kyrgyzstan
Fencing,0,1,1,kyrgyzstan
Judo,0,1,1,kyrgyzstan
Shooting,1,0,1,kyrgyzstan
Swimming,0,1,1,kyrgyzstan
Weightlifting,0,1,1,kyrgyzstan
Wrestling,3,6,9,kyrgyzstan
3x3 Basketball,4,0,4,mongolia
Archery,1,1,2,mongolia
Athletics,1,2,3,mongolia
Boxing,1,2,3,mongolia
Judo,5,7,12,mongolia
Shooting,3,1,4,mongolia
Swimming,1,1,2,mongolia
Table Tennis,1,1,2,mongolia
Weightlifting,2,0,2,mongolia
Wrestling,6,3,9,mongolia
Artistic Gymnastics,1,0,1,argentina
Athletics,2,3,5,argentina
Basketball,0,12,12,argentina
Beach Volleyball,2,2,4,argentina
Boxing,1,4,5,argentina
Canoe Slalom,0,1,1,argentina
Canoe Sprint,1,2,3,argentina
Cycling BMX Racing,0,1,1,argentina
Cycling Mountain Bike,1,0,1,argentina
Cycling Road,0,1,1,argentina
Equestrian,0,3,3,argentina
Fencing,1,0,1,argentina
Football,0,22,22,argentina
Golf,1,0,1,argentina
Handball,0,15,15,argentina
Hockey,16,16,32,argentina
Judo,1,1,2,argentina
Marathon Swimming,1,0,1,argentina
Modern Pentathlon,0,1,1,argentina
Rowing,2,0,2,argentina
Rugby Sevens,0,13,13,argentina
Sailing,7,4,11,argentina
Shooting,2,2,4,argentina
Surfing,0,1,1,argentina
Swimming,3,1,4,argentina
Table Tennis,0,2,2,argentina
Taekwondo,0,1,1,argentina
Tennis,1,6,7,argentina
Triathlon,1,0,1,argentina
Volleyball,12,12,24,argentina
Wrestling,0,1,1,argentina
Judo,0,1,1,san-marino
Shooting,1,1,2,san-marino
Swimming,1,0,1,san-marino
Wrestling,0,1,1,san-marino
Athletics,1,0,1,jordan
Boxing,0,5,5,jordan
Equestrian,0,1,1,jordan
Judo,0,1,1,jordan
Karate,0,1,1,jordan
Shooting,1,0,1,jordan
Swimming,1,1,2,jordan
Taekwondo,1,1,2,jordan
Archery,1,1,2,malaysia
Artistic Gymnastics,1,1,2,malaysia
Athletics,1,1,2,malaysia
Badminton,4,4,8,malaysia
Cycling Track,0,2,2,malaysia
Diving,5,0,5,malaysia
Golf,1,1,2,malaysia
Sailing,3,1,4,malaysia
Shooting,1,0,1,malaysia
Swimming,1,1,2,malaysia
Artistic Gymnastics,0,1,1,nigeria
Athletics,7,7,14,nigeria
Badminton,1,2,3,nigeria
Basketball,12,12,24,nigeria
Canoe Sprint,1,0,1,nigeria
Rowing,1,0,1,nigeria
Swimming,1,0,1,nigeria
Table Tennis,2,2,4,nigeria
Taekwondo,1,0,1,nigeria
Wrestling,4,1,5,nigeria
Athletics,5,8,13,bahrain
Boxing,0,1,1,bahrain
Handball,0,15,15,bahrain
Shooting,1,0,1,bahrain
Swimming,1,1,2,bahrain
Athletics,1,1,2,saudi-arabia
Football,0,22,22,saudi-arabia
Judo,1,1,2,saudi-arabia
Karate,0,1,1,saudi-arabia
Rowing,0,1,1,saudi-arabia
Shooting,0,1,1,saudi-arabia
Swimming,0,1,1,saudi-arabia
Table Tennis,0,1,1,saudi-arabia
Weightlifting,0,2,2,saudi-arabia
Artistic Gymnastics,0,1,1,lithuania
Athletics,5,6,11,lithuania
Canoe Sprint,0,1,1,lithuania
Cycling Road,1,1,2,lithuania
Cycling Track,3,0,3,lithuania
Judo,1,0,1,lithuania
Modern Pentathlon,2,1,3,lithuania
Rowing,2,7,9,lithuania
Sailing,1,1,2,lithuania
Shooting,0,1,1,lithuania
Swimming,1,5,6,lithuania
Weightlifting,0,1,1,lithuania
Wrestling,0,1,1,lithuania
Athletics,0,1,1,north-macedonia
Judo,1,0,1,north-macedonia
Karate,1,0,1,north-macedonia
Shooting,0,1,1,north-macedonia
Swimming,1,1,2,north-macedonia
Taekwondo,0,1,1,north-macedonia
Wrestling,0,1,1,north-macedonia
Athletics,3,1,4,namibia
Boxing,0,1,1,namibia
Cycling Mountain Bike,1,1,2,namibia
Cycling Road,1,1,2,namibia
Marathon Swimming,0,1,1,namibia
Rowing,1,0,1,namibia
Athletics,0,1,1,turkmenistan
Judo,1,0,1,turkmenistan
Swimming,1,1,2,turkmenistan
Weightlifting,2,3,5,turkmenistan
Archery,0,3,3,kazakhstan
Artistic Gymnastics,0,1,1,kazakhstan
Artistic Swimming,2,0,2,kazakhstan
Athletics,8,2,10,kazakhstan
Boxing,1,8,9,kazakhstan
Canoe Slalom,1,1,2,kazakhstan
Canoe Sprint,3,2,5,kazakhstan
Cycling Road,0,3,3,kazakhstan
Cycling Track,0,2,2,kazakhstan
Fencing,0,1,1,kazakhstan
Judo,1,5,6,kazakhstan
Karate,2,3,5,kazakhstan
Marathon Swimming,0,1,1,kazakhstan
Modern Pentathlon,1,1,2,kazakhstan
Rhythmic Gymnastics,1,0,1,kazakhstan
Rowing,0,1,1,kazakhstan
Shooting,2,1,3,kazakhstan
Sport Climbing,0,1,1,kazakhstan
Swimming,1,1,2,kazakhstan
Table Tennis,1,1,2,kazakhstan
Taekwondo,1,1,2,kazakhstan
Tennis,4,3,7,kazakhstan
Water Polo,0,13,13,kazakhstan
Weightlifting,1,1,2,kazakhstan
Wrestling,3,8,11,kazakhstan
Archery,3,1,4,mexico
Artistic Gymnastics,1,1,2,mexico
Artistic Swimming,2,0,2,mexico
Athletics,8,12,20,mexico
Badminton,1,1,2,mexico
Baseball/Softball,15,24,39,mexico
Beach Volleyball,0,2,2,mexico
Boxing,2,1,3,mexico
Canoe Slalom,1,0,1,mexico
Cycling Mountain Bike,1,1,2,mexico
Cycling Road,1,1,2,mexico
Cycling Track,2,0,2,mexico
Diving,6,8,14,mexico
Equestrian,1,3,4,mexico
Fencing,0,1,1,mexico
Football,0,22,22,mexico
Golf,2,2,4,mexico
Judo,1,0,1,mexico
Marathon Swimming,0,1,1,mexico
Modern Pentathlon,2,2,4,mexico
Rhythmic Gymnastics,1,0,1,mexico
Rowing,1,0,1,mexico
Sailing,2,2,4,mexico
Shooting,2,3,5,mexico
Swimming,1,2,3,mexico
Taekwondo,1,1,2,mexico
Tennis,2,0,2,mexico
Trampoline Gymnastics,1,0,1,mexico
Triathlon,2,2,4,mexico
Weightlifting,2,2,4,mexico
Wrestling,1,1,2,mexico
Archery,0,1,1,finland
Athletics,12,9,21,finland
Badminton,0,1,1,finland
Boxing,1,0,1,finland
Equestrian,0,1,1,finland
Golf,2,2,4,finland
Sailing,3,2,5,finland
Shooting,1,2,3,finland
Skateboarding,1,0,1,finland
Swimming,3,2,5,finland
Wrestling,0,2,2,finland
Athletics,3,7,10,botswana
Boxing,1,1,2,botswana
Swimming,0,1,1,botswana
Weightlifting,1,0,1,botswana
Athletics,1,1,2,burkina-faso
Cycling Road,0,1,1,burkina-faso
Judo,0,1,1,burkina-faso
Swimming,1,1,2,burkina-faso
Taekwondo,0,1,1,burkina-faso
Athletics,2,1,3,Côte d'Ivoire
Football,0,21,21,Côte d'Ivoire
Judo,1,0,1,Côte d'Ivoire
Rowing,0,1,1,Côte d'Ivoire
Swimming,1,0,1,Côte d'Ivoire
Taekwondo,2,2,4,Côte d'Ivoire
Athletics,1,6,7,ghana
Boxing,0,3,3,ghana
Judo,0,1,1,ghana
Swimming,1,1,2,ghana
Weightlifting,0,1,1,ghana
Athletics,1,3,4,grenada
Swimming,1,1,2,grenada
Athletics,1,1,2,kuwait
Karate,0,1,1,kuwait
Rowing,0,1,1,kuwait
Shooting,0,4,4,kuwait
Swimming,1,1,2,kuwait
Archery,1,1,2,Republic of Moldova
Athletics,4,2,6,Republic of Moldova
Canoe Sprint,2,1,3,Republic of Moldova
Judo,0,2,2,Republic of Moldova
Shooting,1,0,1,Republic of Moldova
Swimming,1,1,2,Republic of Moldova
Weightlifting,1,1,2,Republic of Moldova
Wrestling,1,1,2,Republic of Moldova
Athletics,0,1,1,Syrian Arab Republic
Equestrian,0,1,1,Syrian Arab Republic
Swimming,0,1,1,Syrian Arab Republic
Table Tennis,1,0,1,Syrian Arab Republic
Triathlon,0,1,1,Syrian Arab Republic
Weightlifting,0,1,1,Syrian Arab Republic
